Datetime,Open,High,Low,Close,Volume
2024-10-28 02:00:00,1.07955,1.08009,1.07935,1.07937,2761
2024-10-28 03:00:00,1.07933,1.07954,1.07897,1.07905,3041
2024-10-28 04:00:00,1.07903,1.07952,1.07853,1.0788,2064
2024-10-28 05:00:00,1.07884,1.07894,1.07817,1.07824,1404
2024-10-28 06:00:00,1.07825,1.07885,1.07822,1.0787,1510
2024-10-28 07:00:00,1.07871,1.0788,1.07815,1.07871,1686
2024-10-28 08:00:00,1.0787,1.07962,1.07858,1.07936,2366
2024-10-28 09:00:00,1.07935,1.08051,1.07928,1.08036,2665
2024-10-28 10:00:00,1.08035,1.08209,1.08005,1.08188,4240
2024-10-28 11:00:00,1.08189,1.08195,1.0808,1.08126,3193
2024-10-28 12:00:00,1.08127,1.0819,1.08105,1.08162,3203
2024-10-28 13:00:00,1.0816,1.08195,1.08146,1.0819,2275
2024-10-28 14:00:00,1.08189,1.08258,1.08127,1.08151,3578
2024-10-28 15:00:00,1.08152,1.08221,1.08136,1.08199,4041
2024-10-28 16:00:00,1.08201,1.08272,1.08147,1.08237,3683
2024-10-28 17:00:00,1.08236,1.08248,1.08131,1.08183,4080
2024-10-28 18:00:00,1.08182,1.08258,1.08141,1.0815,2961
2024-10-28 19:00:00,1.08151,1.08176,1.08125,1.0813,2312
2024-10-28 20:00:00,1.08126,1.08145,1.08094,1.08111,2102
2024-10-28 21:00:00,1.08112,1.08186,1.08107,1.08148,2073
2024-10-28 22:00:00,1.0815,1.0817,1.08103,1.08103,1158
2024-10-28 23:00:00,1.08103,1.08147,1.08094,1.08145,639
2024-10-29 00:00:00,1.08147,1.08147,1.08106,1.08121,693
2024-10-29 01:00:00,1.08122,1.08172,1.08103,1.08172,568
2024-10-29 02:00:00,1.08171,1.08189,1.08126,1.08153,1842
2024-10-29 03:00:00,1.08151,1.08166,1.08111,1.08154,2508
2024-10-29 04:00:00,1.08153,1.08176,1.0811,1.08119,2022
2024-10-29 05:00:00,1.0812,1.0813,1.08057,1.08074,1793
2024-10-29 06:00:00,1.08073,1.08086,1.08062,1.08084,1149
2024-10-29 07:00:00,1.08083,1.08129,1.08081,1.08107,1447
2024-10-29 08:00:00,1.08106,1.08134,1.08062,1.08111,1608
2024-10-29 09:00:00,1.0811,1.08157,1.08051,1.0809,2520
2024-10-29 10:00:00,1.08092,1.082,1.08091,1.08179,4503
2024-10-29 11:00:00,1.08178,1.08259,1.08126,1.08176,3210
2024-10-29 12:00:00,1.08174,1.08204,1.08029,1.08051,3496
2024-10-29 13:00:00,1.08052,1.08055,1.07962,1.07986,3509
2024-10-29 14:00:00,1.07987,1.07992,1.07716,1.07769,4970
2024-10-29 15:00:00,1.0777,1.07906,1.07684,1.07872,5834
2024-10-29 16:00:00,1.07875,1.08117,1.07875,1.08001,9402
2024-10-29 17:00:00,1.08002,1.08008,1.07847,1.07971,6066
2024-10-29 18:00:00,1.07972,1.08072,1.07918,1.07985,4052
2024-10-29 19:00:00,1.07984,1.08107,1.07975,1.08052,4064
2024-10-29 20:00:00,1.08054,1.08158,1.08026,1.08131,2727
2024-10-29 21:00:00,1.08132,1.08148,1.08103,1.08133,2339
2024-10-29 22:00:00,1.08132,1.08183,1.08125,1.08177,1450
2024-10-29 23:00:00,1.08132,1.08159,1.08098,1.08147,832
2024-10-30 00:00:00,1.08148,1.08212,1.08144,1.08201,764
2024-10-30 01:00:00,1.082,1.08215,1.08175,1.08192,889
2024-10-30 02:00:00,1.08191,1.08257,1.08191,1.08214,1811
2024-10-30 03:00:00,1.08213,1.08253,1.08195,1.08209,2598
2024-10-30 04:00:00,1.0821,1.08211,1.08168,1.08177,2104
2024-10-30 05:00:00,1.08176,1.08177,1.08131,1.08136,1947
2024-10-30 06:00:00,1.08137,1.08174,1.08126,1.08162,1249
2024-10-30 07:00:00,1.08161,1.08164,1.08135,1.08151,1391
2024-10-30 08:00:00,1.08152,1.08259,1.08152,1.08234,1976
2024-10-30 09:00:00,1.08235,1.08236,1.08153,1.0819,2327
2024-10-30 10:00:00,1.08191,1.08442,1.08191,1.08398,4932
2024-10-30 11:00:00,1.08383,1.08588,1.08323,1.08394,5533
2024-10-30 12:00:00,1.08395,1.08435,1.08306,1.0834,3607
